Drug,Interaction_Text,Risk_Level
phenelzine,limit caffeine intake. excess caffeine intake can also cause a hypertensive crisis.,Moderate
propantheline,take before a meal. take before a meal. propantheline bromide should be taken 15 to 30 minutes before meals.,Low
mefenamic acid,avoid alcohol.,High
mefenamic acid,take with food.,Low
acyclovir,drink plenty of fluids. dehydration with acyclovir predisposes patients to nephrotoxicity.,Low
acyclovir,take with or without food. the absorption is unaffected by food.,Low
naproxen,take with food. food reduces gi irritation.,Low
perindopril,"avoid hypertensive herbs (e.g. bayberry, blue cohosh, cayenne, ephedra, and licorice).",High
perindopril,avoid potassium-containing products. potassium products increase the risk of hyperkalemia.,High
perindopril,limit salt intake. salt may attenuate the antihypertensive effect.,Moderate
perindopril,take with or without food. the absorption is unaffected by food.,Low
primidone,avoid alcohol.,High
primidone,avoid st. john's wort.,High
sulfasalazine,drink plenty of fluids. inadequate fluid intake is associated with crystalluria and stone formation.,Low
candesartan cilexetil,take at the same time every day.,Low
candesartan cilexetil,take with or without food. the absorption is unaffected by food.,Low
fenoldopam,take on an empty stomach. orally administered fenoldopam should be taken in a fasted state for optimal absorption.,Low
dicyclomine,avoid alcohol. alcohol may increase drowsiness caused by dicyclomine.,High
dicyclomine,"drink plenty of fluids. dicyclomine may reduce sweating, increasing the risk of overheating in warm weather or during exercise.",Low
pentoxifylline,limit caffeine intake.,Moderate
pentoxifylline,"take with food. administration with food may reduce irritation. co-administration with food modestly increases the mean pentoxifylline auc and maximum plasma concentrations (1.1- and 1.3-fold, respectively) achieved with an extended-release tablet.",Low
indapamide,avoid alcohol. alcohol may potentiate orthostatic hypotension.,High
indapamide,increase consumption of potassium-rich foods. indapamide my cause potassium depletion leading to hypokalemia.,Low
indapamide,take with or without food.,Low
biperiden,avoid alcohol.,High
biperiden,take with food.,Low
ribavirin,avoid alcohol. ribavirin is used to treat chronic hepatitis c infection; ingesting alcohol may worsen this infection.,High
ribavirin,take with food. taking ribavirin with a high-fat meal slows the absorption and increases the auc and cmax of ribavirin.,Low
phenylbutazone,avoid alcohol.,High
phenylbutazone,take with food. food reduces irritation.,Low
fentanyl,avoid alcohol.,High
meloxicam,avoid alcohol. the risk of gastrointestinal bleeding may be increased.,High
meloxicam,take with or without food. the absorption is unaffected by food.,Low
sodium lauryl sulfate,"take after a meal. when sodium lauryl sulfate is formulated in paste form for oral health, it should be used after meals.",Low
orciprenaline,limit caffeine intake.,Moderate
orciprenaline,take with or without food. the absorption is unaffected by food.,Low
acetazolamide,drink plenty of fluids.,Low
acetazolamide,take with food. take at least 6 hours before bedtime.,Low
tadalafil,avoid excessive or chronic alcohol consumption. ingesting excess amounts of alcohol (more than four drinks in a short time) may potentiate the hypotension and dizziness caused by tadalafil.,High
tadalafil,"avoid grapefruit products. tadalafil is metabolized by cyp3a4, and grapefruit products are cyp3a4 inhibitors; therefore, coadministration may increase serum levels of tadalafil and result in increased hypotension.",High
tadalafil,take with or without food.,Low
disulfiram,avoid alcohol. avoid alcohol for up to 14 days after discontinuation.,High
disulfiram,take with or without food. the absorption is unaffected by food.,Low
fosfomycin,take with or without food. the absorption is unaffected by food.,Low
diazepam,avoid alcohol.,High
diazepam,take on an empty stomach. food may decrease absorption and time to therapeutic effect.,Low
trifluoperazine,avoid excessive or chronic alcohol consumption. ingesting alcohol may potentiate the sedative and cns depressant effects of trifluoperazine.,High
cefaclor,take with or without food.,Low
mifepristone,avoid grapefruit products. grapefruit inhibits the metabolism of mifepristone through the cyp3a4 pathway causing increased serum levels of mifepristone.,High
mifepristone,take with food. taking mifepristone with meals has been shown to increase serum levels of mifepristone.,Low
brompheniramine,avoid alcohol.,High
brompheniramine,take with food.,Low
tolazamide,avoid excessive or chronic alcohol consumption. ingesting alcohol may increase the risk of hypoglycemia.,High
tolazamide,take with food. taking tolazamide with breakfast may help reduce the risk of hypoglycemia.,Low
oxazepam,avoid alcohol. co-administration with alcohol may potentiate the cns effects of oxazepam.,High
donepezil,avoid alcohol.,High
donepezil,take with or without food. the absorption is unaffected by food.,Low
nalbuphine,avoid alcohol. ingesting alcohol may increase the sedative and cns depressant effects of nalbuphine.,High
clofazimine,take with food. prescribing information for clofazimine recommends its administration with a meal.,Low
cysteamine,take on an empty stomach. the delayed-release capsules should be taken at least 30 minutes before or 2 hours after a high-fat meal to ensure adequate exposure.,Low
cysteamine,take with or without food. the immediate release preparation can be taken with or without food.,Low
levamisole,take on an empty stomach.,Low
perphenazine,avoid alcohol. consuming alcohol may increase hypotension. perphenazine may increase the effects of alcohol.,High
dacarbazine,take on an empty stomach. fasting for four to six hours before treatment may be beneficial to reduce nausea and vomiting associated with dacarbazine therapy.,Low
pseudoephedrine,take with or without food. the absorption is unaffected by food.,Low
temozolomide,take at the same time every day.,Low
temozolomide,take on an empty stomach. food reduces the absorption of temozolomide and taking it on an empty stomach may reduce temozolomide associated nausea and vomiting.,Low
levorphanol,avoid alcohol.,High
levorphanol,take with or without food. food does not significantly affect absorption.,Low
terbinafine,"limit caffeine intake. terbinafine may reduce the metabolism of caffeine by approximately 19%, monitor for increased effects of caffeine.",Moderate
terbinafine,take with or without food.,Low
penicillamine,drink plenty of fluids.,Low
penicillamine,take on an empty stomach. co-administration with food decreases bioavailability.,Low
prednisolone,avoid alcohol.,High
prednisolone,take with food. food reduces irritation.,Low
diflunisal,avoid alcohol.,High
diflunisal,take with food. food reduces irritation.,Low
vardenafil,"avoid grapefruit products. vardenafil is metabolized by cyp3a4, and grapefruit products are cyp3a4 inhibitors; therefore, coadministration may increase serum levels of vardenafil and result in increased hypotension. .",High
vardenafil,"take with or without food. high-fat meals reduce the cmax of vardenafil; however, there are no changes in auc or tmax.",Low
ranitidine,take with or without food. the absorption is unaffected by food.,Low
tacrolimus,avoid alcohol. consuming alcohol may increase the rate of tacrolimus release from extended-release formulations.,High
tacrolimus,avoid grapefruit products.,High
tacrolimus,"exercise caution with st. john's wort. this herb induces the cyp3a4 metabolism of tacrolimus; therefore, monitoring tacrolimus whole blood trough concentrations may be warranted.",Moderate
tacrolimus,take at the same time every day.,Low
tacrolimus,take on an empty stomach. take at least 1 hour before or 2 hours after a meal as coadministration with food decreases the rate and extent of absorption.,Low
tacrolimus,"take separate from antacids. coadministration of tacrolimus with aluminum or magnesium hydroxide antacids may increase the serum levels of tacrolimus, which poses a risk for toxicity.",Low
benzphetamine,limit caffeine intake. excess caffeine intake may increase the cns stimulation caused by benzphetamine hydrochloride.,Moderate
benzonatate,take with or without food. the absorption is unaffected by food.,Low
guaifenesin,take with a full glass of water.,Low
guaifenesin,take with or without food. the absorption is unaffected by food.,Low
flupentixol,avoid alcohol. flupentixol can enhance the sedative effects of alcohol.,High
flupentixol,take with or without food. food has negligible effects on drug pharmacokinetics.,Low
eprosartan,take with or without food. the absorption is unaffected by food.,Low
sirolimus,avoid grapefruit products. grapefruit inhibits the cyp3a4 metabolism of sirolimus and increases its serum concentration.,High
sirolimus,exercise caution with st. john's wort. this herb induces cyp3a4 and p-gp; thus it may reduce sirolimus serum concentrations.,Moderate
sirolimus,take with or without food. take consistently with regard to food.,Low
chlorhexidine,take separate from meals. may affect the taste of food and beverages. avoid eating or drinking for 30 minutes following use.,High
emtricitabine,take with or without food. the absorption is unaffected by food.,Low
quinapril,avoid fatty foods.,High
quinapril,"avoid hypertensive herbs (e.g. bayberry, blue cohosh, cayenne, ephedra, and licorice).",High
quinapril,avoid potassium-containing products. potassium products increase the risk of hyperkalemia.,High
quinapril,limit salt intake. salt may attenuate the antihypertensive effect.,Moderate
clomifene,take with or without food. the absorption is unaffected by food.,Low
isosorbide dinitrate,take with or without food. food decreases drug absorption.,Low
risedronic acid,administer vitamin supplements. patients may require supplemental vitamin d.,Low
risedronic acid,"avoid multivalent ions. calcium, antacids, and divalent ions may interfere with the absorption of this medication.",High
risedronic acid,take on an empty stomach.,Low
risedronic acid,take with a full glass of water.,Low
bumetanide,take with food. food reduces irritation.,Low
granisetron,take with or without food. the absorption is unaffected by food.,Low
triazolam,"avoid alcohol. ingesting alcohol may increase the risk of complex behaviors like sleep-driving, which the patient does not remember.",High
triazolam,"avoid grapefruit products. grapefruit may reduce the cyp3a4 metabolism of triazolam, which increases the serum concentration of triazolam.",High
remifentanil,avoid alcohol. ingesting alcohol may increase the sedative and cns depressant effects of remifentanil.,High
didanosine,avoid alcohol.,High
didanosine,take on an empty stomach. take at least 1 hour before or 2 hours after meals.,Low
etacrynic acid,take with food. food reduces irritation.,Low
ondansetron,take with or without food. the absorption is unaffected by food.,Low
tiagabine,avoid alcohol. ingesting alcohol may increase drowsiness and dizziness.,High
tiagabine,take with food.,Low
quinidine,"exercise caution with grapefruit products. grapefruit may delay the absorption of quinidine, and inhibit its metabolism through cyp3a4.",Moderate
quinidine,exercise caution with st. john's wort.,Moderate
quinidine,take separate from antacids. antacids may reduce the absorption of quinidine.,Low
quinidine,take with or without food. taking quinidine with food may slow its absorption.,Low
zonisamide,avoid alcohol. ingesting alcohol may increase drowsiness and dizziness.,High
zonisamide,take with or without food.,Low
paricalcitol,avoid antacids. avoid taking aluminum-containing antacids chronically with paricalcitol as there is an increased risk of aluminum toxicity.,High
paricalcitol,"exercise caution with grapefruit products. grapefruit inhibits cyp3a4, and paricalcitol metabolism is mediated partially through cyp3a4; therefore, grapefruit may increase paricalcitol serum levels.",Moderate
paricalcitol,take with or without food.,Low
tinidazole,"avoid alcohol. avoid concomitant use of alcohol with tinidazole as it may cause flushing, nausea, vomiting, and headaches.",High
tinidazole,take with food. administering with food may reduce gastrointestinal upset and epigastric discomfort caused by tinidazole but does not affect bioavailability.,Low
repaglinide,take before a meal. repaglinide should be taken before each meal of the day.,Low
anileridine,take with or without food. the absorption is unaffected by food.,Low
amantadine,avoid alcohol.,High
amantadine,take with or without food. the absorption is unaffected by food.,Low
metronidazole,"avoid alcohol. unpleasant symptoms such as nausea, vomiting, and abdominal distress may occur with alcohol.",High
metronidazole,"take with or without food. the extended release formulation should, however, be taken without food.",Low
almotriptan,take with or without food. the absorption is unaffected by food.,Low
ketotifen,take with or without food. the co-administration of food does not significantly affect ketotifen disposition.,Low
buprenorphine,avoid alcohol. ingesting alcohol may increase the sedative and cns depressant effects of buprenorphine.,High
buprenorphine,"avoid grapefruit products. grapefruit inhibits the metabolism of buprenorphine through cyp3a4, which increases the serum levels buprenorphine.",High
buprenorphine,"take separate from meals. when buprenorphine is formulated as a sublingual tablet or buccal film, avoid eating or drinking until the dosage form is completely dissolved.",High
cyclobenzaprine,avoid alcohol. cyclobenzaprine is a central nervous system depressant which may be potentiated by the co-administration of alcohol.,High
etretinate,avoid alcohol. alcohol should be completely avoided for up to 2 months after discontinuation.,High
etretinate,take with food. food increases absorption.,Low
famotidine,avoid excessive or chronic alcohol consumption. alcohol increases the risk of gastric irritation.,High
famotidine,limit caffeine intake. caffeine and other acidic beverages increases the risk of gastric irritation.,Moderate
famotidine,"take with or without food. food slightly increases bioavailability, but not to a clinically significant extent.",Low
misoprostol,take with food. food decreases incidence of diarrhea.,Low
colesevelam,drink plenty of fluids.,Low
colesevelam,take with food.,Low
tipranavir,"take with or without food. however, if taken with ritonavir tablets, tipranavir should be taken with food.",Low
mesoridazine,take with food. food reduces irritation.,Low
maprotiline,limit caffeine intake.,Moderate
maprotiline,take with or without food.,Low
diethylpropion,take with or without food. the absorption is unaffected by food.,Low
meclofenamic acid,avoid excessive or chronic alcohol consumption. ingesting alcohol may increase the risk of developing a gastrointestinal bleed.,High
meclofenamic acid,take with or without food. taking meclofenamic acid with food reduces the rate and extent of its absorption; however it also reduces gastrointestinal upset caused by meclofenamic acid.,Low
zalcitabine,avoid multivalent ions. magnesium and aluminum containing products can reduce the absorption of this medication.,High
zalcitabine,take on an empty stomach. take at least 1 hour before or 2 hours after meals.,Low
acetylsalicylic acid,avoid alcohol. alcohol increases the risk of gastrointestinal bleeding.,High
acetylsalicylic acid,"avoid herbs and supplements with anticoagulant/antiplatelet activity. examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.",High
acetylsalicylic acid,take after a meal. this reduces irritating gastrointestinal effects.,Low
acetylsalicylic acid,take with a full glass of water.,Low
phenprocoumon,"avoid herbs and supplements with anticoagulant/antiplatelet activity. examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.",High
phenprocoumon,ensure consistent vitamin k intake. changes in vitamin k intake may impact coagulation.,Low
phenprocoumon,exercise caution with grapefruit products.,Moderate
phenprocoumon,exercise caution with st. john's wort.,Moderate
felbamate,avoid alcohol.,High
fexofenadine,"avoid fruit juice. fruit juices like grapefruit, orange, and apple may reduce bioavailability and overall exposure to the medication.",High
fexofenadine,take with or without food. co-administration with food does not significantly affect absorption.,Low
isoniazid,administer vitamin supplements. vitamin b6 (pyridoxine) should be given with isoniazid to prevent deficiency.,Low
isoniazid,"avoid alcohol. avoid drinking alcoholic beverages such as unpasteurized beer; unless approved by your physician, as they may contain tyramine. consuming alcohol may also increase the risk of isoniazid induced hepatitis and neuropathy.",High
isoniazid,"avoid chocolate. chocolate contains caffeine, which should be limited during isoniazid therapy.",High
isoniazid,"avoid histamine-containing foods and supplements. histamine-containing foods (e.g., skipjack, tuna, other tropical fish) can cause headaches, sweating, palpitations, flushing, and hypotension.",High
isoniazid,"avoid tyramine-containing foods and supplements. tyramine-containing foods include cheese, red wine, fava beans, pickled food, cured food, and alcoholic beverages.",High
isoniazid,limit caffeine intake.,Moderate
isoniazid,take on an empty stomach. take at least 1 hour before or 2 hours after meals.,Low
isoniazid,take separate from antacids. taking this medication with antacids can reduce absorption.,Low
naratriptan,take with or without food. the absorption is unaffected by food.,Low
rizatriptan,take with or without food. food has no significant effect on the bioavailability of rizatriptan but delays the time to reach peak concentration by an hour.,Low
hydrocodone,"avoid alcohol. profound cns depression, including sedation, respiratory depression, coma, and death may occur.",High
hydrocodone,take with or without food. cmax and auc are not altered by food in a clinically significant way.,Low
norgestimate,take at the same time every day.,Low
norgestimate,take with or without food.,Low
carboplatin,avoid echinacea. co-administration may decrease effectiveness of immunosuppressants.,High
methylprednisolone,avoid alcohol.,High
methylprednisolone,take with food. food reduces gi irritation.,Low
pindolol,avoid alcohol. alcohol may aggravate signs and symptoms of overdose.,High
pindolol,take with or without food. food does not significantly affect absorption.,Low
zaleplon,avoid alcohol. ingesting alcohol may increase the cns depressant effects of zaleplon.,High
zaleplon,do not take with or immediately after a high-fat meal. the effects of zaleplon are reduced when taken with a high-fat meal.,Low
telmisartan,take with or without food. bioavailability may be slightly reduced by taking telmisartan with food.,Low
desloratadine,take with or without food. the absorption is unaffected by food.,Low
methyldopa,take with or without food. drug pharmacokinetics is unaffected.,Low
alosetron,take with or without food. the absorption is unaffected by food.,Low
azelastine,avoid alcohol. ingesting alcohol may cause additive cns depressant effects.,High
ezetimibe,take with or without food. co-administration with food does not affect absorption.,Low
edetic acid,"avoid herbs and supplements with anticoagulant/antiplatelet activity. examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.",High
dipyridamole,"avoid herbs and supplements with anticoagulant/antiplatelet activity. examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.",High
dipyridamole,"avoid xanthines. xanthines, found in coffee and tea, can reduce the effectiveness of this medication.",High
dipyridamole,take with or without food. taking dipyridamole extrended release capusels with a high-fat meal minimally reduces it's auc and cmax.,Low
telithromycin,take with or without food. the absorption is unaffected by food.,Low
ethinylestradiol,avoid st. john's wort. st. john's wort may decrease the effectiveness of ethinylestradiol.,High
lomefloxacin,"avoid multivalent ions. separate the administration polyvalent ions, including magnesium and aluminum-containing antacids, from lomefloxacin by at least 4 hours before and 2 hours after lomefloxacin dosing.",High
lomefloxacin,take with or without food. the rate and extent of absorption may be reduced when lomefloxacin is taken with food.,Low
ramelteon,avoid alcohol.,High
ramelteon,do not take with or immediately after a high-fat meal.,Low
isotretinoin,avoid alcohol. alcohol with isotretinoin can lead to inflammation of the liver.,High
isotretinoin,avoid vitamin a supplements.,High
isotretinoin,take with food. high-fat food increases drug absorption.,Low
dimenhydrinate,avoid alcohol.,High
glycopyrronium,take with or without food. the absorption is unaffected by food.,Low
rivastigmine,take with food. administering rivastigmine capsules with food delays absorption but increases the auc.,Low
exemestane,take with food. the manufacturer recommends administration following a meal.,Low
oxaprozin,take with food. take once daily after breakfast. food decreases the rate but not the extent of absorption.,Low
azathioprine,take with food. food reduces irritation.,Low
auranofin,take with food. food reduces irritation.,Low
gabapentin,avoid alcohol. gabapentin possesses cns depressant activity that may be potentiated by co-administration with alcohol.,High
gabapentin,"take with or without food. co-administration with food slightly alters pharmacokinetics, but not to a clinically significant extent.",Low
doxorubicin,"avoid st. john's wort. this herb induces cyp3a4 metabolism, which may reduce the serum concentration of doxorubicin.",High
doxorubicin,"exercise caution with grapefruit products. grapefruit inhibits cyp3a4 metabolism, which may increase the serum concentration of doxorubicin.",Moderate
frovatriptan,"take with or without food. food does not affect bioavailability, but delays maximum concentrations by one hour.",Low
hydrochlorothiazide,avoid alcohol. alcohol may potentiate orthostatic hypotension.,High
hydrochlorothiazide,"avoid multivalent ions. take this medication 2 hours before or after the administration of antacids, calcium supplements, or iron supplements to avoid decreased absorption of hydrochlorothiazide.",High
hydrochlorothiazide,avoid natural licorice. licorice potentiates the hypokalemic effect of hydrochlorothiazide.,High
hydrochlorothiazide,increase consumption of potassium-rich foods. this medication may cause potassium depletion. foods containing potassium include bananas and orange juice.,Low
hydrochlorothiazide,"limit salt intake. avoid excessive salt, unless recommended by a physician.",High
hydrochlorothiazide,take with or without food.,Low
cromoglicic acid,take before a meal. take cromolyn sodium 30 minutes before meals.,Low
ganciclovir,take with food. food increases bioavailability.,Low
hydroxyurea,drink plenty of fluids. drinking extra fluids will help pass more urine to prevent kidney problems and keep the kidneys working well.,Low
letrozole,take with or without food. food slows absorption without decreasing the quantity absorbed.,Low
busulfan,drink plenty of fluids.,Low
busulfan,exercise caution with grapefruit products.,Moderate
busulfan,exercise caution with st. john's wort.,Moderate
busulfan,take at the same time every day.,Low
ketoprofen,avoid alcohol.,High
ketoprofen,take with food. food reduces irritation.,Low
metyrapone,take with food. take metyrapone with milk or a snack according to the specific instructions for a single or multi-dose test.,Low
cinacalcet,take with food. food markedly increases product bioavailability.,Low
balsalazide,take with or without food.,Low
glyburide,avoid alcohol. alcohol increases the risk of hypoglycemia.,High
glyburide,take before a meal. take 30-60 minutes before breakfast.,Low
minocycline,"avoid multivalent ions. separate administration of aluminium, calcium, iron and magnesium containing products from medication by at least 2 hours.",High
minocycline,take with or without food.,Low
guanfacine,avoid alcohol.,High
guanfacine,do not take with or immediately after a high-fat meal. high fat meals increase drug exposure.,Low
bethanechol,take on an empty stomach. nausea and vomiting may occur if taken after food.,Low
isosorbide mononitrate,take with or without food. the absorption is unaffected by food.,Low
felodipine,avoid grapefruit products.,High
felodipine,take with or without food. the absorption is unaffected by food.,Low
mycophenolic acid,take on an empty stomach. take mycophenolic acid at least 1 hour before or 2 hours after eating.,Low
ketoconazole,avoid alcohol. drinking alcohol while on ketoconazole treatment may cause liver injury.,High
ketoconazole,avoid multivalent ions. they may decrease ketoconazole concentrations.,High
ketoconazole,take with food. food decreases gastrointestinal irritation caused by ketoconazole.,Low
methoxyflurane,avoid alcohol. ingesting alcohol may increase the cns depressant effects of methoxyflurane.,High
irbesartan,take with or without food. the absorption is unaffected by food.,Low
topotecan,take with or without food.,Low
probenecid,avoid alcohol.,High
probenecid,drink plenty of fluids.,Low
probenecid,take with food. food reduces irritation.,Low
mercaptopurine,drink plenty of fluids.,Low
mercaptopurine,take on an empty stomach.,Low
procainamide,avoid alcohol.,High
procainamide,take with food. food reduces irritation.,Low
tolterodine,take with food.,Low
selegiline,"avoid tyramine-containing foods and supplements. consuming foods containing tyramine such as yogurt, aged cheese, ripe bananas, wine, and sourdough bread may increase the risk of having an uncontrolled hypertensive reaction.",High
selegiline,take before a meal. take selegiline oral disintegrating tablets before breakfast and at least 5 minutes before or after any food or drink. taking selegiline with food reduces the auc by approximately 60%.,Low
selegiline,take with food. take selegiline capsules or tablets with breakfast and lunch. food can increase the exposure to selegiline by 3-4 fold.,Low
fenofibrate,take with food. bioavailability is increased 2- to 3-fold when taken with food.,Low
thalidomide,avoid alcohol. ingesting alcohol may increase the drowsiness caused by thalidomide.,High
thalidomide,take after a meal. wait at least 1 hour after eating before taking thalidomide.,Low
memantine,take with a full glass of water.,Low
memantine,take with or without food. the absorption is unaffected by food.,Low
gatifloxacin,drink plenty of fluids.,Low
gatifloxacin,take with or without food. the absorption is unaffected by food.,Low
rifampin,avoid alcohol. alcohol may lead to an increased risk of severe hepatocellular toxicity.,High
rifampin,take on an empty stomach. absorption of rifampin is reduced by about 30% when the drug is ingested with food.,Low
rifampin,take with a full glass of water. oral capsules should be taken with a glass of water.,Low
lubiprostone,take with a full glass of water.,Low
lubiprostone,take with food. taking lubiprostone with food may reduce nausea.,Low
abacavir,avoid alcohol. alcohol increases the systemic exposure to the drug.,High
abacavir,take with or without food. the absorption is unaffected by food.,Low
ergoloid mesylate,take with or without food. taking ergoloid mesylate with food may reduce gastrointestinal upset.,Low
ibuprofen,avoid alcohol.,High
ibuprofen,take with food. food reduces irritation.,Low
nitrendipine,take with or without food.,Low
praziquantel,avoid grapefruit products. praziquantel is metabolized by cyp450 enzymes.,High
praziquantel,take with food. take tablets with water during meals.,Low
norfloxacin,drink plenty of fluids.,Low
norfloxacin,limit caffeine intake.,Moderate
norfloxacin,take on an empty stomach.,Low
amoxicillin,take with food.,Low
oxybutynin,avoid alcohol.,High
oxybutynin,take with or without food.,Low
melatonin,avoid alcohol. ingesting alcohol may reduce the effects of melatonin.,High
melatonin,take after a meal. administration of melatonin after eating slows the absorption and reduces the cmax of melatonin.,Low
cefditoren,"avoid multivalent ions. avoid antacids containing magnesium and aluminum hydroxides when possible, otherwise separate the administration of antacids and this drug by several hours.",High
glipizide,avoid excessive or chronic alcohol consumption. the risk of hypoglycemia is increased when alcohol is ingested.,High
glipizide,take before a meal. take 30-60 minutes before breakfast.,Low
clonazepam,avoid alcohol.,High
clonazepam,limit caffeine intake.,Moderate
clonazepam,take with or without food. the absorption is unaffected by food.,Low
promethazine,avoid alcohol. alcohol may increase the sedation caused by promethazine.,High
atazanavir,take with food. food increases product absorption and reduces pharmacokinetic variability.,Low
fludarabine,"take with or without food. administration with food delays absorption, but not to a clinically significant extent.",Low
diphenhydramine,avoid alcohol.,High
diphenhydramine,take before a meal. take 30 minutes before a meal or 30 minutes before departure for motion sickness.,Low
atorvastatin,avoid grapefruit products. grapefruit products may increase the risk for atorvastatin related adverse effects such as myopathy and rhabdomyolysis.,High
atorvastatin,take with or without food. food decreases absorption but not to a clinically significant extent.,Low
etidronic acid,avoid multivalent ions. separate administration from multivalent ions by at least two hours.,High
etidronic acid,take on an empty stomach.,Low
etidronic acid,take with a full glass of water.,Low
tegaserod,"take before a meal. to increase absorption, take 30 minutes before a meal.",Low
vigabatrin,take with or without food.,Low
vigabatrin,take with plain water. only mix vigabatrin oral solution powder with plain water.,Low
diphenoxylate,avoid alcohol.,High
diphenoxylate,take with food.,Low
orlistat,take with food. take with meals or up to 1 hour after a meal. doses may be skipped for missed meals or fat-free meals.,Low
pilocarpine,"take with or without food. a high fat meal decreases cmax and the time to reach cmax, but not to a clinically significant extent.",Low
primaquine,take with food. food decreases irritation.,Low
iloprost,"avoid herbs and supplements with anticoagulant/antiplatelet activity. taking iloprost with anticoagulant/antiplatelet herbs may increase the risk of bleeding occurring as an adverse effect. examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.",High
fluvastatin,take with or without food. should be taken consistently in regards to meals.,Low
leflunomide,take with or without food. the absorption is unaffected by food.,Low
rosuvastatin,take with or without food. co-administration with food does not affect absorption.,Low
pimozide,"avoid grapefruit products. grapefruit inhibits cyp3a4 and, therefore, may increase pimozide serum levels.",High
pimozide,exercise caution with st. john's wort.,Moderate
capecitabine,"take at the same time every day. take xeloda 2 times a day at the same time each day, about 12 hours apart.",Low
capecitabine,take with food. take xeloda within 30 minutes after finishing a meal.,Low
capecitabine,"take with plain water. swallow xeloda tablets whole with water. do not chew, cut, or crush xeloda tablets.",Low
sertraline,avoid st. john's wort.,High
sertraline,take with or without food.,Low
methyprylon,take with or without food. the absorption is unaffected by food.,Low
heparin,administer calcium supplement. this drug decreases calcium levels.,Low
heparin,"avoid herbs and supplements with anticoagulant/antiplatelet activity. examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.",High
cefuroxime,take with food. food increases absorption.,Low
chlorpheniramine,avoid alcohol.,High
chlorpheniramine,take with food.,Low
nifedipine,avoid excessive or chronic alcohol consumption.,High
nifedipine,"avoid grapefruit products. grapefruit down-regulates post-translational expression of cyp3a4, the major metabolizing enzyme of nifedipine. grapefruit, in all forms (e.g. whole fruit, juice and rind), can significantly increase serum levels of nifedipine and may cause toxicity. avoid grapefruit products while on this medication.",High
nifedipine,avoid natural licorice.,High
nifedipine,take with or without food.,Low
atovaquone,take with food. administration with a meal significantly enhances bioavailability.,Low
amiodarone,"avoid grapefruit products. grapefruit inhibits cyp3a4 metabolism, which may increase the serum concentration of amiodarone.",High
amiodarone,avoid st. john's wort. this herb induces the cyp3a4 metabolism of amiodarone. therefore it may reduce the serum concentration and effectiveness of amiodarone.,High
amiodarone,take with or without food. the absorption is unaffected by food.,Low
gliclazide,avoid alcohol.,High
gliclazide,take with or without food. consistent food intake reduces the risk of hypoglycemia.,Low
phenacemide,take with or without food. co-administration with food may reduce gastrointestinal upset.,Low
tolbutamide,"avoid alcohol. ingesting alcohol may precipitate a disulfiram-like reaction (flushing, nausea), or hypoglycemia.",High
tolbutamide,take with or without food.,Low
dutasteride,take with or without food. the absorption is unaffected by food.,Low
bicalutamide,take at the same time every day.,Low
bicalutamide,take with or without food. food does not significantly affect absorption.,Low
rabeprazole,"take with or without food. food delays drug absorption, but not to a clinically significant extent.",Low
proguanil,take with food.,Low
pioglitazone,"take with or without food. food delays drug absorption, but not to a clinically significant extent.",Low
tiludronic acid,take at least 2 hours before or after calcium supplements.,Low
tiludronic acid,take on an empty stomach. take at least 2 hours before or after meals.,Low
tiludronic acid,take separate from antacids. take at least 2 hours before or after antacids. the bioavailability of this medication is significantly reduced when administered with aluminum or magnesium containing antacids.,Low
tiludronic acid,take with a full glass of water.,Low
carvedilol,take with food. food slows the absorption and reduces the incidence of adverse effects.,Low
levofloxacin,take with or without food. food slightly alters kinetics but not to any clinically significant extent.,Low
sulfinpyrazone,take with food.,Low
cefadroxil,take with or without food. administration with food may be helpful in diminishing potential gastrointestinal complaints occasionally associated with oral cephalosporin therapy.,Low
doxepin,avoid alcohol. co-administration may enhance cns adverse effects such as drowsiness and sedation.,High
doxepin,avoid st. john's wort. co-administration may lead to decreased serum concentrations of doxepin.,High
diclofenamide,"increase consumption of potassium-rich foods. diclofenamide may cause hypokalemia, therefore consuming more potassium-rich foods may help prevent hypokalemia.",Low
cloxacillin,take on an empty stomach. orally administered cloxacillin should be taken 1-2 hours prior to meals as the presence of food in the stomach and intestine reduces drug absorption.,Low
flavoxate,take with or without food. the absorption is unaffected by food.,Low
nefazodone,avoid alcohol.,High
nefazodone,take at the same time every day.,Low
nefazodone,take with or without food.,Low
cefprozil,take with or without food. the absorption is unaffected by food.,Low
desipramine,avoid alcohol.,High
desipramine,limit caffeine intake.,Moderate
desipramine,take with food. food reduces irritation.,Low
gemifloxacin,take with or without food. the absorption is unaffected by food.,Low
bupropion,avoid alcohol. co-administration with alcohol may result in neuropsychiatric adverse effects and potentiation of cns depressant effects.,High
bupropion,take with or without food. co-administration with food does not significantly affect pharmacokinetics.,Low
terazosin,take with or without food. a meal does not significantly affect the extent of absorption but delays tmax by 40 minutes.,Low
ofloxacin,limit caffeine intake.,Moderate
